Circles;Wyn Starks
SWAG?? (feat. 9m88);Outlander
Can't Live A Day;Avalon
Father Electricity;The Voidz
Mind Eraser;CRUISR
28;Brandon
How'd You Know That;Junyang
birds;dempsey hope
Take Me Higher;A.C.E
Donald Trump;Mac Miller
Insecure;Mykyl
Don't Bring Me Down;PREP
Airplanes;Local Natives
Sunset Chaser;Ragamuffs
Hot Wax;King Gizzard & The Lizard Wizard
City;Marlon Funaki
Jivin' & Vibin';Daryl Kim
Pretty Face;Maya Delilah
Work of Art;Alex J. Price
Perfect Day;Melissa Polinar
i'm lost for words;Gabriel
Magical Thinking;Haley Joelle
Steam;Leon Bridges
ADULTHOOD;Jon Batiste
Motorbike;Leon Bridges
Hard Days Love;Lily Moore
Deja Vu;Crispy???
Rachel;PREP
Be My Own Boyfriend - Live At The Jazz Cafe;Olivia Dean
Rubber Boots;Yuno Miles
Pantone 17 13 30;Yuna
Love;Trousdale
Something Special;Kyle McEvoy
Smile;Marc Scibilia
The Good;Cynthia Erivo
FaceTime;Karencici
All Night;Jordy Searcy
Over Tonight;Stacey Ryan
MOSS (Feat. MINO, BOBBY) (Prod. MINO);Mudd the student
Like Before;Couch
TROUBLE (Prod. Slom);Don Mills
Honey, There's the Door;Haley Reinhart
Dance For Love;Zella Day
Party City;Sir Woman
Black Bear Lane;Couch
Unknown;Alice Auer
Somebody Good;Stacey Ryan
Hot Mess;david hugo
Jealous;gianni & kyle
One And Only You;GOT7
Snake Oil;PREP
Turn The Music Up;PREP
All Wordz Are Made Up;The Voidz
Me Myself and I;Clay and Friends
Effortlessly;lo-1
Red Smoke;King Gizzard & The Lizard Wizard
The Idea;Stacey Ryan
??????;L�CY
Sundress;Devin Kennedy
MIA;Forrest Nolan
Promise (I'll be);2PM
Don't Look Back;PREP
Unholy;Jonathan Young
Predator X;King Gizzard & The Lizard Wizard
Dare I Care;The Voidz
Candles;King Gizzard & The Lizard Wizard
Nicole;Taylor Ashton
25;Ethan Dufault
SING;Jon Batiste
AM Gold;Train
Sweet (Single Edit);Jon Batiste
ihateyou1000;Karencici
Blame;Harikiri
Alabaster Jar - Live;Gateway Worship
SUN GOES DOWN (Prod. R.Tee);JUSTHIS
Years Don't Lie;PREP
Wouldn't Wanna Know;PREP
White Room;Coldiac
Evilest Man;King Gizzard & The Lizard Wizard
Cassandra Gemini;The Mars Volta
The Eternal Tao;The Voidz
Fishing For Fishies;King Gizzard & The Lizard Wizard
??;Julia Wu
don't say you're ordinary;almost monday
Another;Francis Karel
Shine Jesus Shine;Graham Kendrick
Pictures of You;PREP
Cold Fire;PREP
All My Friends (feat. Tinashe & Chance the Rapper) - PREP Remix;Snakehips
Back To You;PREP
The Eternal Tao 2.0;The Voidz
Melting Vibes;The Mellowells
Presumptuous;King Gizzard & The Lizard Wizard
Don't Lose Sight (Acoustic);Lawrence
Making it Right;Harrison Finks
Wtsdg (with Alessia Cara);CLAY
Velcro (feat. Gus Dapperton);spill tab
Whisper My Name;Adi Oasis
Saturday;Couch
Autumn;Couch
