title,artist,id,spotifyURL,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key
Don't Ask Why,Katzù Oso,3YsLo6O3bxt0NhsDOgxBAd,https://open.spotify.com/track/3YsLo6O3bxt0NhsDOgxBAd,0.386,0.31,243307,0.472,0,0.0762,-11.351,1,0.0399,95.114,4,0.268,2
Lakers Town (feat. Michael McBolton),Joey Dosik,4QMipGuTpebExVmTOA2s3C,https://open.spotify.com/track/4QMipGuTpebExVmTOA2s3C,0.696,0.687,195750,0.68,0.00000101,0.09,-6.813,1,0.0574,123.445,4,0.723,2
Home,Violet Crime,2qPSa6HXjzwa9sLhNGpA1T,https://open.spotify.com/track/2qPSa6HXjzwa9sLhNGpA1T,0.982,0.725,195359,0.199,0.00395,0.1,-12.478,1,0.0357,120.031,4,0.264,2
Blow My Cover,Ansley Stewart,4NIUFVZMIbJ7D7XffrH45W,https://open.spotify.com/track/4NIUFVZMIbJ7D7XffrH45W,0.907,0.632,168533,0.155,0.0857,0.133,-15.685,1,0.0377,92.075,4,0.504,5
Future Me Hates Me - Live,The Beths,5xiCR2zkUdHfqEwYebI9nF,https://open.spotify.com/track/5xiCR2zkUdHfqEwYebI9nF,0.00133,0.292,235306,0.797,0.00112,0.449,-10.952,1,0.0813,145.784,4,0.265,4
You Better Run,Delta Maid,5qwdIO55XtliaaSs9ccptC,https://open.spotify.com/track/5qwdIO55XtliaaSs9ccptC,0.102,0.605,185027,0.621,0.000744,0.22,-10.495,1,0.0532,125.701,4,0.696,9
No News No Blues,Paul Cherry,4uvUEE8EtbiJxBcB45XURq,https://open.spotify.com/track/4uvUEE8EtbiJxBcB45XURq,0.0465,0.857,233600,0.572,0.00207,0.056,-8.389,1,0.0384,108.994,4,0.843,10
It Will Come In Time,Benny Sings,1zRhXw3y1qo1692z3LH8lI,https://open.spotify.com/track/1zRhXw3y1qo1692z3LH8lI,0.101,0.801,188813,0.518,0.0109,0.0643,-12.911,1,0.0396,95.496,4,0.93,3
Addiction,Nina Tonji,01VzuxoBYMAJLObfU0w6dI,https://open.spotify.com/track/01VzuxoBYMAJLObfU0w6dI,0.0209,0.889,192011,0.489,0.0000178,0.0814,-8.587,0,0.108,93.039,4,0.843,10
Quitting You (feat. Mandark),Yo Lee,0PIhl3itjcEjwhczcElGJW,https://open.spotify.com/track/0PIhl3itjcEjwhczcElGJW,0.804,0.597,253154,0.521,0.293,0.0957,-11.258,0,0.0421,101.996,4,0.202,9
Love Breaks Down - Extended Dancefloor Edit,PREP,4JcV7vLspLtkSJOvyD1jXW,https://open.spotify.com/track/4JcV7vLspLtkSJOvyD1jXW,0.0676,0.83,292920,0.681,0.13,0.0761,-6.487,0,0.0614,102.017,4,0.83,9
Scooby Doo,DaDood,6DD5beNG6Ji3AYp5WrYnwD,https://open.spotify.com/track/6DD5beNG6Ji3AYp5WrYnwD,0.0000894,0.486,68696,0.946,0.0001,0.11,-5.509,1,0.0807,158.158,4,0.509,1
Jazz In My,Samuel Seo,6sYm1J6qpDXi0aEbDZmLMg,https://open.spotify.com/track/6sYm1J6qpDXi0aEbDZmLMg,0.171,0.805,208473,0.74,0,0.0999,-6.2,1,0.182,108.995,4,0.871,6
Peach,Aaron Childs,4w9soAM7IrmYDhSXLp14p6,https://open.spotify.com/track/4w9soAM7IrmYDhSXLp14p6,0.797,0.698,95440,0.312,0,0.1,-10.9,0,0.0483,92.138,4,0.419,10
With A Little Help From My Friends - Poppin Mix,Omarion,1m0WIodfeFyevAYuHsWk0w,https://open.spotify.com/track/1m0WIodfeFyevAYuHsWk0w,0.186,0.729,157762,0.719,0,0.347,-3.208,0,0.0432,110.981,4,0.53,6
